00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
01 0706050403020100
01 0f0e0d0c0b0a0908
01 1716151413121110
01 1f1e1d1c1b1a1918
01 2726252423222120
01 2f2e2d2c2b2a2928
01 3736353433323130
01 3f3e3d3c3b3a3938
00 0000000000000000
00 0000000000000000
00 0000000000000000
02 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
01 4746454443424140
01 4f4e4d4c4b4a4948
01 5756555453525150
01 5f5e5d5c5b5a5958
01 6766656463626160
01 6f6e6d6c6b6a6968
01 7776757473727170
01 7f7e7d7c7b7a7978
00 0000000000000000
00 0000000000000000
00 0000000000000000
02 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000
00 0000000000000000

